Vulnerability ID,Vulnerability Type,Severity,First Detection Time (YYYY/MM/dd HH:mm),Status,State,URL,Method,Source Filename,Source Line,Source Input,Destination Filename,Destination Line,Destination Output,Assigned User,CWE
7474,Blind_SQL_Injection,MEDIUM,2020/02/14 08:36,RECURRENT,TO_VERIFY,/sqli-06/BenchmarkTest02649?BenchmarkTest02649=bar&password=&username=,POST,org/owasp/benchmark/testcode/BenchmarkTest02649.java,43,BenchmarkTest02649=bar&password=&username=,org/owasp/benchmark/testcode/BenchmarkTest02649.java,66,SELECT * from USERS where USERNAME='foo' and PASSWORD='bar',,89
7476,Blind_SQL_Injection,MEDIUM,2020/02/14 08:36,RECURRENT,TO_VERIFY,/sqli-06/BenchmarkTest02650?BenchmarkTest02650=bar&password=&username=,POST,org/owasp/benchmark/testcode/BenchmarkTest02650.java,43,BenchmarkTest02650=bar&password=&username=,org/owasp/benchmark/testcode/BenchmarkTest02650.java,66,SELECT * from USERS where USERNAME='foo' and PASSWORD='bar',,89
7477,Blind_SQL_Injection,MEDIUM,2020/02/14 08:36,RECURRENT,TO_VERIFY,/sqli-06/BenchmarkTest02651?BenchmarkTest02651=bar&password=&username=,POST,org/owasp/benchmark/testcode/BenchmarkTest02651.java,43,BenchmarkTest02651=bar&password=&username=,org/owasp/benchmark/testcode/BenchmarkTest02651.java,66,SELECT * from USERS where USERNAME='foo' and PASSWORD='bar',,89
7482,Blind_SQL_Injection,MEDIUM,2020/02/14 08:36,RECURRENT,TO_VERIFY,/sqli-06/BenchmarkTest02654?BenchmarkTest02654=bar&password=&username=,POST,org/owasp/benchmark/testcode/BenchmarkTest02654.java,43,BenchmarkTest02654=bar&password=&username=,org/owasp/benchmark/testcode/BenchmarkTest02654.java,66,"INSERT INTO users (username, password) VALUES ('foo','bar')",,89
7483,Blind_SQL_Injection,MEDIUM,2020/02/14 08:36,RECURRENT,TO_VERIFY,/sqli-06/BenchmarkTest02655?BenchmarkTest02655=bar&password=&username=,POST,org/owasp/benchmark/testcode/BenchmarkTest02655.java,43,BenchmarkTest02655=bar&password=&username=,org/owasp/benchmark/testcode/BenchmarkTest02655.java,66,"INSERT INTO users (username, password) VALUES ('foo','bar')",,89
7486,Blind_SQL_Injection,MEDIUM,2020/02/14 08:36,RECURRENT,TO_VERIFY,/sqli-06/BenchmarkTest02656?BenchmarkTest02656=bar&password=&username=,POST,org/owasp/benchmark/testcode/BenchmarkTest02656.java,43,BenchmarkTest02656=bar&password=&username=,org/owasp/benchmark/testcode/BenchmarkTest02656.java,66,"INSERT INTO users (username, password) VALUES ('foo','bar')",,89
7480,Blind_SQL_Injection,MEDIUM,2020/02/14 08:36,RECURRENT,TO_VERIFY,/sqli-06/BenchmarkTest02653?BenchmarkTest02653=bar&password=&username=,POST,org/owasp/benchmark/testcode/BenchmarkTest02653.java,43,BenchmarkTest02653=bar&password=&username=,org/owasp/benchmark/testcode/BenchmarkTest02653.java,66,SELECT * from USERS where USERNAME='foo' and PASSWORD='bar',,89
7470,Blind_SQL_Injection,MEDIUM,2020/02/14 08:36,RECURRENT,TO_VERIFY,/sqli-05/BenchmarkTest02647?BenchmarkTest02647=bar&password=&username=,POST,org/owasp/benchmark/testcode/BenchmarkTest02647.java,43,BenchmarkTest02647=bar&password=&username=,org/owasp/benchmark/testcode/BenchmarkTest02647.java,66,SELECT * from USERS where USERNAME='foo' and PASSWORD='bar',,89
7461,Blind_SQL_Injection,MEDIUM,2020/02/14 08:36,RECURRENT,TO_VERIFY,/sqli-05/BenchmarkTest02642?BenchmarkTest02642=bar&password=&username=,POST,org/owasp/benchmark/testcode/BenchmarkTest02642.java,43,BenchmarkTest02642=bar&password=&username=,org/springframework/jdbc/core/JdbcTemplate.java,455,SELECT * from USERS where USERNAME='foo' and PASSWORD='bar',,89
7463,Blind_SQL_Injection,MEDIUM,2020/02/14 08:36,RECURRENT,TO_VERIFY,/sqli-05/BenchmarkTest02643?BenchmarkTest02643=bar&password=&username=,POST,org/owasp/benchmark/testcode/BenchmarkTest02643.java,43,BenchmarkTest02643=bar&password=&username=,org/springframework/jdbc/core/JdbcTemplate.java,455,SELECT * from USERS where USERNAME='foo' and PASSWORD='bar',,89
